veh_id,target_vel_x,target_vel_y,target_acc_x,target_acc_y,ref_heading,yaw_rate
1,0.0413432,9.54907,-0.029048,0.015499,-0.26142,0.81943
1,0.0446394,9.56532,-0.03789,0.071215,-0.17948,0.67786
1,0.0478138,9.58971,-0.0471,0.12715,-0.11169,0.52834
1,0.0494528,9.62436,-0.056839,0.17963,-0.058859,0.37609
1,0.0481236,9.66803,-0.066994,0.22439,-0.021249,0.22647
1,0.0424568,9.71598,-0.077311,0.2575,0.001398,0.083949
1,0.0313985,9.76283,-0.087806,0.27661,0.0097929,-0.049411
1,0.0159458,9.80562,-0.098542,0.28282,0.0048519,-0.17499
1,-0.00182621,9.84482,-0.10947,0.27957,-0.012647,-0.29466
1,-0.0198453,9.88309,-0.12056,0.27084,-0.042113,-0.40825
1,-0.0372922,9.92269,-0.13177,0.25953,-0.082938,-0.51495
1,-0.0546211,9.96368,-0.14318,0.24626,-0.13443,-0.61569
1,-0.0721289,10.004,-0.15446,0.22933,-0.196,-0.71009
1,-0.0901005,10.0401,-0.16435,0.20633,-0.26701,-0.79241
1,-0.108416,10.0692,-0.17154,0.17668,-0.34625,-0.85605
1,-0.126885,10.0892,-0.17445,0.14268,-0.43186,-0.8928
1,-0.145586,10.0986,-0.17225,0.10787,-0.52114,-0.89874
1,-0.164518,10.0984,-0.16668,0.074735,-0.61101,-0.88451
1,-0.183616,10.091,-0.16047,0.043584,-0.69946,-0.86572
1,-0.20285,10.0798,-0.15569,0.013424,-0.78603,-0.85409
1,-0.222197,10.0681,-0.15222,-0.016199,-0.87144,-0.84855
1,-0.24173,10.0578,-0.14871,-0.044476,-0.9563,-0.84108
1,-0.261113,10.0484,-0.14475,-0.06989,-1.0404,-0.82987
1,-0.279254,10.037,-0.14029,-0.090729,-1.1234,-0.81462
1,-0.29496,10.0214,-0.13543,-0.10601,-1.2049,-0.79529
1,-0.306452,10.0013,-0.13027,-0.11513,-1.2844,-0.77147
1,-0.313103,9.97858,-0.12477,-0.11791,-1.3615,-0.7421
1,-0.31742,9.95509,-0.11926,-0.11535,-1.4357,-0.70924
1,-0.322769,9.93199,-0.11441,-0.10915,-1.5067,-0.67749
1,-0.331221,9.90994,-0.11079,-0.10104,-1.5744,-0.65114
1,-0.341741,9.89029,-0.10867,-0.092402,-1.6395,-0.63293
1,-0.352037,9.87473,-0.10788,-0.083878,-1.7028,-0.62278
1,-0.361633,9.86421,-0.10832,-0.07501,-1.7651,-0.62031
1,-0.37069,9.85867,-0.1103,-0.064581,-1.8271,-0.62739
1,-0.379276,9.85722,-0.11426,-0.051669,-1.8899,-0.64621
1,-0.387418,9.85893,-0.1211,-0.036275,-1.9545,-0.68141
1,-0.395128,9.86281,-0.13079,-0.018868,-2.0226,-0.73164
1,-0.403033,9.86772,-0.14121,0.00027764,-2.0958,-0.78433
1,-0.412429,9.87274,-0.14992,0.020894,-2.1742,-0.82631
1,-0.424439,9.87775,-0.1558,0.041911,-2.2569,-0.8525
1,-0.439535,9.88332,-0.16022,0.061259,-2.3421,-0.87224
1,-0.457499,9.89008,-0.16518,0.077054,-2.4293,-0.89769
1,-0.477756,9.89835,-0.17099,0.088732,-2.5191,-0.93032
1,-0.499858,9.90787,-0.17742,0.096748,-2.6121,-0.96834
1,-0.523473,9.91806,-0.18419,0.10145,-2.709,-1.01
1,-0.548642,9.92879,-0.19077,0.10239,-2.81,-1.0524
1,-0.574676,9.94084,-0.19668,0.098996,-2.9152,-1.0931
1,-0.599832,9.95565,-0.2009,0.091123,-3.0245,-1.1264
1,-0.622605,9.97378,-0.20185,0.079076,-3.1372,-1.1431
1,-0.642826,9.99376,-0.19853,0.063331,-3.2515,-1.1378
1,-0.662187,10.0128,-0.19082,0.04408,-3.3653,-1.1092
1,-0.682402,10.0288,-0.17917,0.021324,-3.4762,-1.0593
1,-0.703613,10.0417,-0.16435,-0.0050376,-3.5821,-0.99105
1,-0.725531,10.0522,-0.14692,-0.034604,-3.6812,-0.90723
1,-0.747664,10.0601,-0.12735,-0.066553,-3.7719,-0.81023
1,-0.768962,10.0637,-0.10583,-0.10026,-3.853,-0.70155
1,-0.788489,10.0608,-0.082883,-0.13569,-3.9231,-0.58436
1,-0.804841,10.05,-0.059564,-0.17334,-3.9816,-0.46414
