veh_id,target_vel_x,target_vel_y,target_acc_x,target_acc_y,ref_heading,yaw_rate
1,0.177458,13.4021,0.063449,-0.33363,-0.27796,0.5421
1,0.182283,13.3729,0.054642,-0.34678,-0.22375,0.47069
1,0.186363,13.3408,0.044622,-0.35745,-0.17668,0.39616
1,0.190058,13.3067,0.033924,-0.36633,-0.13706,0.32721
1,0.193365,13.2715,0.022692,-0.37334,-0.10434,0.83139
1,0.207954,13.2227,0.0055052,-0.40021,-0.021204,0.69839
1,0.22097,13.1751,-0.011066,-0.41825,0.048636,0.56772
1,0.230606,13.1242,-0.02618,-0.4274,0.10541,0.4446
1,0.23559,13.0683,-0.040371,-0.43127,0.14987,0.33079
1,0.236226,13.0095,-0.05327,-0.43426,0.18295,0.22792
1,0.232289,12.9517,-0.064203,-0.43805,0.20574,0.1363
1,0.223663,12.896,-0.072655,-0.44036,0.21937,0.055293
1,0.21109,12.8421,-0.078638,-0.43874,0.2249,-0.014155
1,0.195228,12.7895,-0.082583,-0.4336,0.22348,-0.065746
1,0.176155,12.7388,-0.085274,-0.4264,0.21691,-0.096089
1,0.154152,12.6924,-0.094322,-0.41133,0.2073,-0.19663
1,0.130921,12.6533,-0.10497,-0.39574,0.18764,-0.2931
1,0.107926,12.6211,-0.11612,-0.37766,0.15833,-0.38066
1,0.0857041,12.5918,-0.12589,-0.35701,0.12026,-0.4505
1,0.0655305,12.5606,-0.13386,-0.33624,0.075211,-0.49661
1,0.0490521,12.526,-0.13937,-0.3182,0.02555,-0.51741
1,0.0369731,12.4921,-0.14192,-0.30371,-0.026191,-0.51616
1,0.0290863,12.4633,-0.14193,-0.29247,-0.077806,-0.50177
1,0.0248915,12.4395,-0.13941,-0.28455,-0.12798,-0.48192
1,0.0228164,12.4187,-0.13428,-0.28131,-0.17617,-0.45828
1,0.0193097,12.4001,-0.12677,-0.28468,-0.222,-0.42862
1,0.0110387,12.3836,-0.11717,-0.29571,-0.26486,-0.39005
1,-0.00163443,12.3689,-0.10579,-0.31167,-0.30387,-0.34381
1,-0.0161987,12.3543,-0.093585,-0.32715,-0.33825,-0.29756
1,-0.0314983,12.3371,-0.083778,-0.33772,-0.36801,-0.26864
1,-0.0464454,12.3153,-0.079619,-0.3426,-0.39487,-0.26765
1,-0.0601796,12.2885,-0.081325,-0.34568,-0.42164,-0.29021
1,-0.0727787,12.2571,-0.087146,-0.35073,-0.45066,-0.33101
