veh_id,target_vel_x,target_vel_y,target_acc_x,target_acc_y,ref_heading,yaw_rate
1,-0.0961871,15.2018,-0.040399,0.18217,-0.0096803,-0.098896
1,-0.0967263,15.2047,-0.044342,0.18786,-0.01957,-0.11186
1,-0.0982284,15.2105,-0.048068,0.1888,-0.030756,-0.12273
1,-0.100283,15.2214,-0.051536,0.18683,-0.04303,-0.13193
1,-0.103267,15.2381,-0.054751,0.18334,-0.056222,-0.13977
1,-0.10799,15.2603,-0.057732,0.17889,-0.0702,-0.1451
1,-0.114077,15.2864,-0.060131,0.173,-0.084709,-0.14671
1,-0.120163,15.3144,-0.062285,0.16472,-0.09938,-0.14864
1,-0.125504,15.3417,-0.063615,0.1537,-0.11424,-0.15015
1,-0.130768,15.3655,-0.06193,0.14044,-0.12926,-0.14209
1,-0.136586,15.384,-0.05579,0.12553,-0.14347,-0.22119
1,-0.144964,15.4085,-0.048672,0.11285,-0.16559,-0.19529
1,-0.153869,15.4284,-0.03988,0.094153,-0.18512,-0.16448
1,-0.163184,15.4447,-0.031674,0.06735,-0.20156,-0.13607
1,-0.172838,15.4585,-0.023651,0.031571,-0.21517,-0.10849
1,-0.182785,15.4702,-0.014176,-0.012772,-0.22602,-0.076527
1,-0.192397,15.4786,-0.0035299,-0.06432,-0.23367,-0.041177
1,-0.202072,15.4819,0.0073427,-0.12096,-0.23779,-0.0034913
1,-0.210695,15.4785,0.017885,-0.17988,-0.23814,0.036904
1,-0.213853,15.4687,0.028689,-0.23798,-0.23445,0.082457
1,-0.207766,15.4529,0.040364,-0.29294,-0.2262,0.13479
1,-0.19407,15.4304,0.053786,-0.34969,-0.21272,0.19814
1,-0.177988,15.3989,0.067773,-0.40287,-0.19291,0.2673
1,-0.163631,15.3561,0.082199,-0.45314,-0.16618,0.33758
1,-0.15057,15.3013,0.096984,-0.50146,-0.13242,0.40055
1,-0.136342,15.2347,0.11235,-0.54856,-0.092366,0.45099
1,-0.121136,15.1578,0.12777,-0.5946,-0.047267,0.48989
1,-0.105478,15.0725,0.14326,-0.63903,0.0017222,0.52838
1,-0.089733,14.982,0.15738,-0.68158,0.05456,0.56802
1,-0.0733913,14.8895,0.1654,-0.72329,0.11136,0.58845
1,-0.0558578,14.7981,0.16338,-0.76543,0.17021,0.5701
1,-0.0373911,14.7091,0.15336,-0.80742,0.22722,0.5228
1,-0.0183236,14.6227,0.14104,-0.84668,0.2795,0.46934
1,0.00121481,14.5384,0.13077,-0.88075,0.32643,0.42449
1,0.0211295,14.4556,0.12243,-0.90847,0.36888,0.38686
1,0.0419214,14.373,0.11397,-0.92987,0.40757,0.34964
1,0.0631364,14.2894,0.10551,-0.94572,0.44253,0.31329
1,0.0844381,14.2038,0.096969,-0.95714,0.47386,0.27272
1,0.104061,14.1153,0.08819,-0.96568,0.50113,0.22164
1,0.116938,14.0221,0.078906,-0.97334,0.5233,0.15838
1,0.118996,13.922,0.069159,-0.98191,0.53913,0.08663
1,0.112644,13.8156,0.059399,-0.99255,0.5478,0.011311
1,0.104085,13.7055,0.050067,-1.0058,0.54893,-0.069121
1,0.0978999,13.5946,0.041392,-1.0217,0.54202,-0.14633
1,0.0942965,13.4843,0.033282,-1.0397,0.52738,-0.20406
1,0.0916051,13.375,0.025039,-1.0585,0.50698,-0.23535
1,0.0898918,13.2663,0.016706,-1.0759,0.48344,-0.24765
1,0.0884614,13.1582,0.0087336,-1.0897,0.45868,-0.25534
1,0.0866462,13.0506,0.0022762,-1.0981,0.43314,-0.2623
1,0.0844207,12.9429,0.00014567,-1.0993,0.40691,-0.25338
1,0.0824611,12.8343,0.0042336,-1.0914,0.38158,-0.21263
1,0.081406,12.724,0.012643,-1.0751,0.36031,-0.14928
1,0.0818098,12.6111,0.021548,-1.053,0.34538,-0.081621
1,0.0839997,12.495,0.028277,-1.0278,0.33722,-0.020442
1,0.0876934,12.3762,0.032744,-1.0008,0.33518,0.035631
1,0.0919996,12.2561,0.035927,-0.9727,0.33874,0.089613
1,0.0965491,12.1377,0.037934,-0.94349,0.3477,0.13884
1,0.101905,12.0245,0.039325,-0.91347,0.36159,0.18495
1,0.108613,11.9191,0.040693,-0.88283,0.38008,0.23524
1,0.11723,11.8236,0.042134,-0.8513,0.40361,0.29172
1,0.127464,11.7393,0.043023,-0.81816,0.43278,0.34636
1,0.137931,11.6653,0.042771,-0.78241,0.46741,0.39239
1,0.147182,11.5994,0.040859,-0.74314,0.50665,0.43057
1,0.154454,11.539,0.036993,-0.70006,0.54971,0.45808
1,0.159785,11.4827,0.031505,-0.65356,0.59552,0.46814
1,0.163458,11.4296,0.02503,-0.60476,0.64233,0.45855
1,0.16576,11.3793,0.017864,-0.55555,0.68819,0.43574
1,0.167111,11.3313,0.0098161,-0.50784,0.73176,0.40701
1,0.168032,11.2849,0.0006249,-0.46313,0.77246,0.37192
1,0.168688,11.2403,-0.0098743,-0.42265,0.80965,0.32394
1,0.168507,11.198,-0.020975,-0.38727,0.84205,0.2593
1,0.166949,11.1592,-0.031231,-0.35712,0.86798,0.18611
1,0.163528,11.1248,-0.038821,-0.33186,0.88659,0.11845
1,0.157986,11.0949,-0.042454,-0.31124,0.89843,0.061787
