veh_id,target_vel_x,target_vel_y,target_acc_x,target_acc_y,ref_heading,yaw_rate
1,0.033148,9.8194,0.076237,-0.48623,0.2584,-0.60538
1,0.042822,9.751,0.08393,-0.58375,0.19786,-0.56878
1,0.053102,9.6762,0.092177,-0.6768,0.14099,-0.51358
1,0.063896,9.5951,0.10014,-0.76165,0.089627,-0.44757
1,0.075116,9.5072,0.10679,-0.83578,0.04487,-0.37995
1,0.086702,9.4122,0.11129,-0.89778,0.0068754,-0.31677
1,0.098589,9.3093,0.11328,-0.94665,-0.024802,-0.25726
1,0.11086,9.1982,0.11321,-0.98292,-0.050528,-0.19312
1,0.12364,9.0798,0.11153,-1.0087,-0.06984,-0.1188
1,0.1371,8.9561,0.10852,-1.0263,-0.08172,-0.040563
1,0.15132,8.8293,0.10444,-1.0374,-0.085777,0.032698
1,0.16629,8.7008,0.099455,-1.043,-0.082507,0.099708
1,0.18188,8.5726,0.093721,-1.044,-0.072536,0.16562
1,0.19714,8.4473,0.087588,-1.0402,-0.055974,0.23834
1,0.2108,8.3266,0.081594,-1.0318,-0.03214,0.32712
1,0.22185,8.212,0.076161,-1.0184,0.00057178,0.43324
1,0.2299,8.1051,0.071423,-0.99934,0.043896,0.54426
1,0.23549,8.0063,0.067115,-0.97448,0.098321,0.6496
1,0.23916,7.9144,0.062945,-0.94452,0.16328,0.74482
1,0.24123,7.8276,0.058759,-0.91109,0.23776,0.82766
1,0.24202,7.7447,0.054447,-0.87585,0.32053,0.89975
1,0.24173,7.665,0.049945,-0.83971,0.4105,0.9629
1,0.24054,7.5883,0.045267,-0.80346,0.50679,1.0185
1,0.23907,7.5146,0.041114,-0.76795,0.60865,1.0724
1,0.2383,7.4436,0.038533,-0.73337,0.71588,1.1331
1,0.23902,7.3754,0.038347,-0.69984,0.82919,1.2045
1,0.24143,7.3106,0.040798,-0.66804,0.94964,1.2818
1,0.24509,7.2492,0.045419,-0.63847,1.0778,1.3525
1,0.24953,7.1907,0.051736,-0.61089,1.2131,1.4098
1,0.25462,7.1339,0.059463,-0.58455,1.3541,1.4689
1,0.26022,7.0776,0.068316,-0.55849,1.5009,1.5465
1,0.26618,7.0214,0.078069,-0.53223,1.6556,1.6412
1,0.27242,6.9657,0.088479,-0.50592,1.8197,1.7383
1,0.27937,6.9114,0.099132,-0.47982,1.9935,1.8203
1,0.28787,6.8598,0.10951,-0.45358,2.1756,1.8709
1,0.29854,6.8123,0.11921,-0.4265,2.3627,1.8896
1,0.3115,6.769,0.12812,-0.39854,2.5516,1.8973
1,0.32633,6.7294,0.13647,-0.37009,2.7413,1.9033
1,0.34263,6.6926,0.14446,-0.34132,2.9317,1.9052
1,0.36016,6.6585,0.15215,-0.31194,3.1222,1.9033
1,0.37866,6.6277,0.15962,-0.28146,3.3125,1.8982
1,0.39787,6.6005,0.16702,-0.24993,3.5024,1.8908
1,0.4175,6.5765,0.17336,-0.21824,3.6914,1.8728
1,0.43734,6.5549,0.17658,-0.1878,3.8787,1.8268
1,0.45733,6.5365,0.17509,-0.1599,4.0614,1.7401
1,0.47744,6.5224,0.1678,-0.13464,4.2354,1.6055
1,0.49768,6.5135,0.15527,-0.11248,4.3959,1.4326
1,0.51802,6.509,0.13953,-0.094837,4.5392,1.2466
1,0.53845,6.5081,0.12187,-0.082773,4.6639,1.0627
1,0.55892,6.51,0.10267,-0.074885,4.7701,0.87256
1,0.57946,6.5147,0.082804,-0.068861,4.8574,0.66668
1,0.60022,6.5215,0.063691,-0.062889,4.9241,0.45195
1,0.61914,6.5292,0.045615,-0.05512,4.9693,0.23905
1,0.63252,6.5358,0.027207,-0.045145,4.9932,0.029413
1,0.63804,6.54,0.0067131,-0.033425,4.9961,-0.18071
1,0.63414,6.543,-0.018046,-0.021386,4.978,-0.41066
1,0.62203,6.544,-0.047406,-0.010236,4.937,-0.67613
1,0.60539,6.5397,-0.079453,-0.00062356,4.8694,-0.96444
1,0.58638,6.5271,-0.11285,0.0072036,4.7729,-1.2614
1,0.5655,6.5087,-0.14641,0.013837,4.6468,-1.5569
1,0.54426,6.49,-0.17967,0.019824,4.4911,-1.8474
1,0.52525,6.4748,-0.21306,0.025929,4.3063,-2.1369
1,0.50873,6.4662,-0.24448,0.033941,4.0927,-2.4078
1,0.49175,6.4647,-0.2704,0.045873,3.8519,-2.6286
1,0.47075,6.4696,-0.28871,0.06249,3.589,-2.7815
1,0.44135,6.4797,-0.29805,0.081916,3.3109,-2.8546
1,0.40286,6.493,-0.29967,0.10359,3.0254,-2.8588
1,0.35912,6.5078,-0.2973,0.12958,2.7395,-2.8286
1,0.31275,6.5225,-0.29257,0.16237,2.4566,-2.7814
1,0.26611,6.5377,-0.28513,0.19954,2.1785,-2.712
1,0.22011,6.5543,-0.27574,0.23602,1.9073,-2.6149
1,0.1741,6.5734,-0.26721,0.26793,1.6458,-2.5039
1,0.13017,6.5971,-0.26098,0.29226,1.3954,-2.3928
1,0.091719,6.6275,-0.25469,0.30943,1.1561,-2.2712
1,0.060609,6.665,-0.24466,0.32035,0.92902,-2.1179
1,0.038031,6.7068,-0.226,0.32585,0.71724,-1.8949
1,0.022683,6.7512,-0.19825,0.32612,0.52775,-1.5972
1,0.010789,6.7989,-0.16601,0.32148,0.36803,-1.2631
1,0.0012389,6.8518,-0.13279,0.31256,0.24172,-0.9218
1,-0.0047663,6.9078,-0.10106,0.29906,0.14954,-0.59334
1,-0.0072072,6.962,-0.071407,0.28114,0.090208,-0.28226
1,-0.0091738,7.0106,-0.042634,0.25955,0.061982,0.020259
1,-0.013236,7.0508,-0.014592,0.23451,0.064008,0.31321
2,0.0333519,3.13526,0.0062349,-0.044901,0.28632,-0.21559
2,0.0330924,3.13629,0.0023295,-0.046126,0.26476,-0.26022
2,0.0330454,3.13392,-0.0012676,-0.051229,0.23874,-0.28481
2,0.0343158,3.12487,-0.0040076,-0.058211,0.21026,-0.2855
2,0.0373,3.1094,-0.006071,-0.065163,0.18171,-0.27124
2,0.04088,3.09307,-0.0077169,-0.07141,0.15458,-0.24906
2,0.0437784,3.08127,-0.0090286,-0.077724,0.12967,-0.22136
2,0.0453179,3.07695,-0.01007,-0.085245,0.10754,-0.19045
2,0.0451778,3.07933,-0.010903,-0.094142,0.088493,-0.31889
2,0.0439158,3.08092,-0.012161,-0.10886,0.056604,-0.29846
2,0.0408711,3.08009,-0.013345,-0.1252,0.026758,-0.26043
2,0.0364176,3.07401,-0.014284,-0.14313,0.00071479,-0.19708
2,0.0316145,3.06225,-0.015335,-0.16036,-0.018993,-0.11659
2,0.0273779,3.04665,-0.017466,-0.17312,-0.030652,-0.041892
2,0.0236756,3.02971,-0.021122,-0.18009,-0.034841,0.016243
2,0.0202706,3.01257,-0.02542,-0.18563,-0.033217,0.074895
2,0.0171378,2.99407,-0.029208,-0.19502,-0.025727,0.15637
2,0.0142566,2.972,-0.031773,-0.21086,-0.010091,0.27507
2,0.0115835,2.94568,-0.032709,-0.23138,0.017416,0.43483
2,0.00905622,2.91644,-0.032199,-0.24969,0.0609,0.62823
2,0.00666276,2.88485,-0.029901,-0.26287,0.12372,0.84958
2,0.00452477,2.85004,-0.026165,-0.26895,0.20868,1.0815
2,0.00237438,2.81321,-0.021882,-0.268,0.31684,1.2974
2,-0.000615469,2.77863,-0.017833,-0.26137,0.44657,1.481
2,-0.00494471,2.74921,-0.014101,-0.25037,0.59467,1.6351
2,-0.00996082,2.72182,-0.010718,-0.2349,0.75818,1.7614
2,-0.014637,2.69123,-0.0077937,-0.21314,0.93431,1.8591
2,-0.018229,2.65522,-0.0052893,-0.18327,1.1202,1.9316
2,-0.0202398,2.61656,-0.0031187,-0.14539,1.3134,1.9826
2,-0.0204818,2.58155,-0.0011914,-0.10182,1.5116,2.0144
2,-0.0189315,2.55435,0.00053454,-0.054145,1.7131,2.0265
2,-0.0159116,2.53611,0.0019822,-0.0010422,1.9157,2.0161
2,-0.0121497,2.52625,0.0034627,0.058873,2.1173,1.99
2,-0.00828743,2.52391,0.0056088,0.12452,2.3163,1.961
2,-0.0045263,2.52896,0.0087531,0.19469,2.5124,1.9328
2,-0.00116476,2.54277,0.012901,0.27188,2.7057,1.9009
2,0.00155035,2.56778,0.017806,0.35939,2.8958,1.8593
2,0.00367802,2.60545,0.022977,0.45664,3.0817,1.7984
2,0.00534605,2.6549,0.027997,0.55896,3.2616,1.7265
2,0.00667332,2.7128,0.032658,0.66097,3.4342,1.6577
2,0.00773185,2.77657,0.036875,0.75998,3.6,1.603
2,0.00848908,2.84796,0.040686,0.85555,3.7603,1.5567
2,0.00929978,2.93096,0.044234,0.9482,3.916,1.5023
2,0.0106022,3.02766,0.047768,1.0383,4.0662,1.4293
2,0.0125615,3.1386,0.051646,1.1256,4.2091,1.3362
2,0.0158408,3.26557,0.056427,1.2089,4.3428,1.241
2,0.0209755,3.41001,0.062396,1.286,4.4669,1.1518
2,0.027724,3.56849,0.069387,1.3556,4.582,1.066
2,0.0357549,3.73448,0.077223,1.4182,4.6886,0.98204
2,0.0448337,3.90349,0.085786,1.4763,4.7868,0.8998
2,0.0548187,4.0743,0.094936,1.5318,4.8768,0.81801
2,0.0654613,4.24721,0.1047,1.5834,4.9586,0.73993
2,0.0763189,4.42264,0.11467,1.6273,5.0326,0.66301
2,0.0872491,4.60042,0.12388,1.6607,5.0989,0.57933
2,0.0987657,4.78014,0.13159,1.682,5.1568,0.48548
2,0.111689,4.96062,0.13671,1.6894,5.2054,0.37433
2,0.126342,5.13984,0.13847,1.6814,5.2428,0.23967
2,0.142451,5.31664,0.13737,1.6608,5.2668,0.088803
2,0.159793,5.49131,0.13401,1.632,5.2757,-0.091032
2,0.178246,5.66533,0.12879,1.5984,5.2666,-0.3148
